id,jp_prompt,en_answer,grammar_hint,tags
1,"参考までに言うと、彼は来ません。","For what it's worth, he won't come.","For what it's worth = 参考までに","[""advice"",""idiom""]"
2,"こういうことだよ：時間が足りないんだ。","Here's the deal: we're short on time.","Here's the deal = こういうことだ","[""advice"",""idiom""]"
3,"現実を見よう。","Let’s face it – we need to face reality.","Let’s face it = 現実を見よう","[""advice"",""idiom""]"
4,"要するに、それはお金の問題だ。","The bottom line is – it’s about money.","The bottom line is = 要するに","[""advice"",""idiom""]"
5,"早ければ早いほどいい。","The sooner the better.","The sooner the better = 早ければ早いほどいい","[""advice"",""idiom""]"
6,"だからこそ勉強する理由になる。","All the more reason to study.","All the more reason to ~ = だからこそ～する理由になる","[""advice"",""idiom""]"
7,"私に言わせれば、それは間違っている。","If you ask me, that’s wrong.","If you ask me = 私に言わせれば","[""advice"",""idiom""]"
8,"映画を見に行こうよ。","Why don’t we go see a movie?","Why don’t we ~ = ～しようよ","[""advice"",""idiom""]"
9,"ドアを閉めてもらえますか。","Would you mind closing the door?","Would you mind ~ing = ～してもらえますか","[""advice"",""idiom""]"
10,"そろそろ始めるべきだ。","It’s about time we got started.","It’s about time = そろそろ～するべきだ","[""advice"",""idiom""]"
11,"もし私があなただったら、やめるね。","If I were you, I’d quit.","If I were you = もし私があなただったら","[""advice"",""idiom""]"
12,"それは天気による。","It depends on the weather.","It depends on = ～による","[""advice"",""idiom""]"
13,"どうなるかわからないよ。","You never know.","You never know = どうなるかわからない","[""advice"",""idiom""]"
14,"私の知る限りでは正しい。","As far as I know, it’s correct.","As far as I know = 私の知る限りでは","[""advice"",""idiom""]"
15,"私が見る限りでは問題ない。","As far as I can tell, there’s no problem.","As far as I can tell = 私が見る限りでは","[""advice"",""idiom""]"
16,"うまくいけば成功する。","If all goes well, we’ll succeed.","If all goes well = うまくいけば","[""advice"",""idiom""]"
17,"長い目で見れば有利になる。","In the long run, it will pay off.","In the long run = 長い目で見れば","[""advice"",""idiom""]"
18,"言われてみればそうだね。","Now that you mention it, you’re right.","Now that you mention it = 言われてみれば","[""advice"",""idiom""]"
19,"それはまだわからない。","That remains to be seen.","That remains to be seen = それはまだわからない","[""advice"",""idiom""]"
20,"後悔するより用心。","Better safe than sorry.","Better safe than sorry = 後悔するより用心","[""advice"",""idiom""]"
21,"それはどうかな。","I’m not so sure about that.","I’m not so sure about that = それはどうかな","[""advice"",""idiom""]"
22,"複雑な気持ちだ。","I have mixed feelings about it.","I have mixed feelings about it = 複雑な気持ちだ","[""advice"",""idiom""]"
23,"雨のために試合が中止になった。","The game was canceled because of the rain.","Because of = ～のために","[""advice"",""idiom""]"
24,"健康であるように運動する。","I exercise so that I stay healthy.","So that = ～するために","[""advice"",""idiom""]"
25,"努力のおかげで成功した。","Thanks to my effort, I succeeded.","Thanks to = ～のおかげで","[""advice"",""idiom""]"
26,"それは本題と関係ない。","That’s beside the point.","That’s beside the point = それは本題と関係ない","[""advice"",""idiom""]"
27,"間違いなく成功する。","Make no mistake, we will succeed.","Make no mistake = 間違いなく","[""advice"",""idiom""]"
28,"やる価値はない。","It’s not worth it.","It’s not worth it = やる価値はない","[""advice"",""idiom""]"
